Fondnr;Fondnamn;Köpkurs;Säljkurs;Kursdatum 
679837;Handelsbanken Latinamerikafond;    314,46;  314,46;2019-05-14
524702;Handelsbanken Långränta;    118,40;  118,40;2019-05-14
154302;Handelsbanken Multi Asset 50;    200,61;  200,61;2019-05-13
811117;Handelsbanken Nordenfond;   1190,96; 1190,96;2019-05-14
751495;Handelsbanken Nordiska Småbolagsfond;   1145,71; 1145,71;2019-05-14
167114;Handelsbanken Pension 40;    136,71;  136,71;2019-05-13
314682;Handelsbanken Pension 50;    174,30;  174,30;2019-05-13
350512;Handelsbanken Pension 60;    219,14;  219,14;2019-05-13
278853;Handelsbanken Pension 70;    225,61;  225,61;2019-05-13
243022;Handelsbanken Pension 80;    226,34;  226,34;2019-05-13
337709;Handelsbanken Pension 90;    132,56;  132,56;2019-05-13
110098;Handelsbanken Råvarufond;    104,88;  104,88;2019-05-13
952010;Handelsbanken Svenska Småbolagsfond;   1773,18; 1773,18;2019-05-14
893396;Handelsbanken Sverige Index Criteria;    276,83;  276,83;2019-05-14
465914;Handelsbanken Sverige OMXSB Index;    244,33;  244,33;2019-05-14
916189;Handelsbanken Sverigefond;   2076,39; 2076,39;2019-05-14
987842;Handelsbanken Tillväxtmarknad Tema;    340,08;  340,08;2019-05-14
857565;Handelsbanken Tillväxtmarknadsfond Obligation;    112,92;  112,92;2019-05-14
825274;HealthInvest Small & MicroCap Fund;    103,72;  103,72;2019-05-10
282632;Holberg Global;    313,66;  313,52;2019-05-14
980284;Holberg Kreditt;    122,05;  121,99;2019-05-14
354290;Holberg Norden;    465,88;  465,67;2019-05-14
318469;Holberg Norge;    633,64;  633,35;2019-05-14
116111;Holberg Rurik;    207,95;  207,86;2019-05-14
674101;Holberg Triton;    161,32;  161,25;2019-05-14
307306;Indecap Guide 1;    106,76;  106,76;2019-05-13
271478;Indecap Guide 2;    144,55;  144,55;2019-05-13
460303;Indecap Guide Q30;    108,88;  108,88;2019-05-13
772038;INVL Baltic Fund;    409,45;  409,38;2019-05-13
989962;INVL Emerging Europe Bond Subfund;    437,62;  437,54;2019-05-13
161620;INVL Emerging Europe ex Russia TOP20 Subfund;    348,31;  348,25;2019-05-13
125799;INVL Russia TOP20 Subfund;    346,29;  346,23;2019-05-13
233585;JPMorgan Funds - China Fund A (dist);    605,96;  605,83;2019-05-10
305243;JPMorgan Funds - Emerging Markets Equity Fund A (dist);    352,81;  352,74;2019-05-13
405290;JPMorgan Funds - Global Dynamic Fund D (acc);    123,84;  123,82;2019-05-13
938498;JPMorgan Funds - Global Natural Resources Fund D (acc);     88,06;   88,04;2019-05-13
333633;JPMorgan Funds - India Funds D (acc);    552,79;  552,68;2019-05-13
369462;JPMorgan Funds - Latin America Equity Fund D (acc);    340,16;  340,09;2019-05-13
996348;JPMorgan Investement Funds - Global Balanced Fund A (acc);  19968,91;19965,23;2019-05-13
275495;JPMorgan Investement Funds - Japan Select Equity Fund A (acc);   1034,79; 1034,56;2019-05-13
296152;KPA Etisk Aktiefond;    377,44;  377,44;2019-05-14
224493;KPA Etisk Blandfond 2;    304,03;  304,03;2019-05-14
891507;Lannebo Europa Småbolag;     11,66;   11,66;2019-05-14
942508;Lannebo Komplett;    152,47;  152,47;2019-05-14
478313;Lannebo Likviditetsfond;    115,19;  115,19;2019-05-14
878520;Lannebo Mixfond;     24,78;   24,78;2019-05-14
861104;Lannebo Mixfond Offensiv;    198,02;  198,02;2019-05-14
842690;Lannebo Småbolag;    109,56;  109,56;2019-05-14
806869;Lannebo Sverige;     37,73;   37,73;2019-05-14
490292;Lannebo Sverige Plus;     49,21;   49,21;2019-05-14
771030;Lannebo Vision;      8,74;    8,74;2019-05-14
102897;Lundmark Aktiv Europa;    131,79;  131,79;2019-05-14
385401;Länsförsäkringar Asienfond;    155,72;  155,72;2019-05-14
492306;Länsförsäkringar Europa Aktiv;    489,80;  489,80;2019-05-14
479840;Länsförsäkringar Europa Indexnära;    212,55;  212,55;2019-05-14
494302;Länsförsäkringar Fastighet Europa;    122,59;  122,59;2019-05-14
313742;Länsförsäkringar Fastighetsfond;   4867,81; 4867,81;2019-05-14
458471;Länsförsäkringar FossilSmart;    123,38;  123,38;2019-05-14
